name,when,project_col,type,owner_col,country_col,company_1,market_cap,company_2,partial_power,total_value,total_power,power_used,link_annou,comment_annou,
SIE.DE,2019-07-09,Eni Mexico Area 1 FPSO,GasTurbine,"Eni Mexico S. de R.L. de C.V. (""Eni Mexico"") Qatar Petroleum.",Mexico,Siemens AG,72000000000,,102,,102,102,https://press.siemens.com/global/en/pressrelease/siemens-gas-turbine-generator-packages-power-eni-mexico-area-1-fpso-modec,,
7011.T,2019-07-03,Heizkraftwerk Wolfsburg-West,GasTurbine,,Germany,Mitsubishi Hitachi Power Systems Ltd.,,,,,288,288,https://www.emea.mhps.com/en/press-releases/d/uid-716f498c-b24a-8c7a-aa64-275606c1e05e.html?_ga=2.60553837.1935163020.1586592387-1949795186.1586592387,,
7011.T,2019-07-01,Jackson Generation Project in Elwood Illinois,GasTurbine,,United States,Mitsubishi Hitachi Power Systems Ltd.,,,,,1298,1298,https://amer.mhps.com/j-power-orders-two-mhps-jac-gas-turbines-to-continue-the-decarbonization-of-illinois%e2%80%99-electric-power.html?_ga=2.60553837.1935163020.1586592387-1949795186.1586592387,,
SIE.DE,2019-06-27, Yerevan 2 combined cycle power plant,GasTurbine,,Armenia,Siemens AG,72000000000,,,,,,https://press.siemens.com/global/en/pressrelease/siemens-provide-power-island-service-and-financing-power-plant-armenia,,
SIE.DE,2019-05-29,BASF Schwarzheide ,GasTurbine,BASF Schwarzheide GmbH,Germany,Siemens AG,72000000000,,57,,,57,https://press.siemens.com/global/en/pressrelease/siemens-modernize-industrial-power-plant-basf-germany-key-components,,
GE,2019-05-20,Indeck Niles Energy Center in Niles Michigan,GasTurbine,Indeck Energy Services Inc,United States,Kiewit Power Constructors,63000000000,GE,1000,,1000,1000,https://www.genewsroom.com/press-releases/ges-ha-gas-turbine-power-indeck-niles-energy-center,,
GE,2019-05-01,Hill Top Energy Center in Nemacolin Pennsylvania,GasTurbine,Hill Top Energy LLC and financial sponsor is Ares Management,United States,Kiewit Power Constructors,63000000000,GE,620,,620,620,https://www.genewsroom.com/press-releases/ges-ha-gas-turbine-power-ares-hill-top-energy-center,,
GE,2019-04-16,Orot Rabin plant located in Hadera Israel,GasTurbine,Israel Electric Corporation (IEC),Israel,Israel Electric Corporation (IEC),63000000000,GE,630,,1260,1260,https://www.genewsroom.com/press-releases/israel-electric-corporation-awards-contract-ge-ha-gas-turbine-technology,,
SIE.DE,2019-04-09,Sao Paulo,GasTurbine,Braskem,Brazil,Siemens AG,72000000000,,48,,,48,https://press.siemens.com/global/en/pressrelease/siemens-selected-deploy-operate-and-maintain-cogeneration-plant-brazil,,
SIE.DE,2019-04-03,Port of Açu in the state of Rio de Janeiro,GasTurbine,BP,Brazil,Siemens AG,72000000000,,1300,1000,1300,1300,https://press.siemens.com/global/en/pressrelease/siemens-secures-major-order-integrated-lng-power-project-brazil,turnkey,
7011.T,2019-03-29,GTCC Power Plant for UAE's Emirate of Sharjah,GasTurbine,,United Arab Emirates,Mitsubishi Hitachi Power Systems Ltd.,,,,,1026,1026,https://www.mhps.com/news/20190329.html,,
8002.T,2019-02-21,DaTan Combined Cycle Power Plant Expansion Project,GasTurbine,Taiwan Power Company,Taiwan,Marubeni,8230000000,GE,,1200,2000,2000,https://www.marubeni.com/en/news/2019/release/00011.html,,
GE,2019-02-21,DaTan Combined Cycle Power Plant Expansion Project,GasTurbine,Taiwan Power Company,Taiwan,GE,63000000000,Marubeni,,1200,2000,2000,https://www.genewsroom.com/press-releases/taiwan-power-company-provides-notice-award-ge-four-ha-gas-turbines-datan-89-project,,
8002.T,2019-02-05,Amin Solar PV IPP Project,Solar,,Oman,Marubeni,8230000000,,,,105,105,https://www.marubeni.com/en/news/2019/release/00010.html,,
